Pressure(Pa),Temperature(K),Xe_mole_frac,Kr_mole_frac,Xe_uptake,Kr_uptake,Xe_Error,Kr_Error,P-bar
2000000.09,300,0.596,0.404,1061.068308,127.2450383,3.233547662,0.56795853,20
2000000.09,300,0.692,0.308,1124.026056,91.16602878,1.4560863,0.644010903,20
2000000.09,300,0.788,0.212,1177.985371,59.19073536,1.890325559,0.30307236,20
2000000.09,300,0.884,0.116,1224.633589,30.81150132,2.208299958,0.070891095,20
2000000.09,300,0.98,0.02,1265.032321,5.080152332,2.363806056,0.041715168,20
2000000.09,320,0.02,0.98,69.32439232,490.181129,0.406695003,0.795378628,20
2000000.09,320,0.116,0.884,326.4573525,385.7560198,0.347408418,0.64762378,20
2000000.09,320,0.212,0.788,513.5427062,308.725656,0.969921856,0.935736685,20
2000000.09,320,0.308,0.692,658.2886565,246.8881266,0.732865712,0.36800274,20
2000000.09,320,0.404,0.596,773.456466,195.6250971,1.369017759,0.304115012,20
2000000.09,320,0.5,0.5,866.9340115,152.2829332,0.970095748,0.583673181,20
2000000.09,320,0.596,0.404,943.8353976,115.0597867,2.291868574,0.564961486,20
2000000.09,320,0.692,0.308,1009.991811,82.72929806,2.024423586,0.500411161,20
2000000.09,320,0.788,0.212,1066.711739,53.91893242,1.38554884,0.252072537,20
2000000.09,320,0.884,0.116,1117.306202,28.03011719,0.743076724,0.119887754,20
2000000.09,320,0.98,0.02,1160.135752,4.624049181,1.952768035,0.044918216,20
2000000.09,340,0.02,0.98,52.30469957,396.1971246,0.433443982,0.580588553,20
2000000.09,340,0.116,0.884,253.9510352,321.1137106,0.569068542,1.325238866,20
2000000.09,340,0.212,0.788,411.6893619,263.1743409,0.656924512,0.629268397,20
2000000.09,340,0.308,0.692,541.7824329,214.4590332,1.572583636,0.605902689,20
2000000.09,340,0.404,0.596,649.6958257,172.8793379,0.477412851,0.490353679,20
2000000.09,340,0.5,0.5,741.6407705,136.4923574,2.48257615,0.259685121,20
2000000.09,340,0.596,0.404,820.6039476,104.0284216,0.781394763,0.308859658,20
