Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error,P_BAR
1500000.1,360,0.692,0.308,252.6828975,13.63838281,3.129121701,0.073589094,15
1500000.1,360,0.788,0.212,282.5259496,9.147564793,6.040460355,0.050889662,15
1500000.1,360,0.884,0.116,312.3339043,4.859342315,4.556274181,0.04269818,15
1500000.1,360,0.98,0.02,339.4080818,0.825168209,5.426160953,0.017497539,15
1500000.1,380,0.02,0.98,5.810981328,42.10287347,0.109394665,0.251200432,15
1500000.1,380,0.116,0.884,33.13247721,37.57389681,0.719647547,0.355169086,15
1500000.1,380,0.212,0.788,59.85213477,33.12611087,1.063098877,0.388336903,15
1500000.1,380,0.308,0.692,86.37548338,28.43336037,1.058817742,0.268337511,15
1500000.1,380,0.404,0.596,113.4009246,24.18077693,1.042637224,0.285787763,15
1500000.1,380,0.5,0.5,139.6932306,19.96300373,1.358011814,0.27203295,15
1500000.1,380,0.596,0.404,163.2172985,15.81992333,3.365228347,0.296559892,15
1500000.1,380,0.692,0.308,187.3885768,11.89611423,2.414083513,0.157416615,15
1500000.1,380,0.788,0.212,213.4766632,8.046069665,1.346789348,0.097720818,15
1500000.1,380,0.884,0.116,235.8863437,4.345576476,3.420754647,0.074868994,15
1500000.1,380,0.98,0.02,258.6920973,0.734926832,1.55764294,0.010798998,15
1500000.1,400,0.02,0.98,4.356622062,35.55778776,0.040928359,0.294060637,15
1500000.1,400,0.116,0.884,25.00706883,31.50859552,0.631187077,0.296671826,15
1500000.1,400,0.212,0.788,44.87355276,27.77229753,0.935652122,0.337430894,15
1500000.1,400,0.308,0.692,65.34087482,24.10601782,0.701394535,0.355665973,15
1500000.1,400,0.404,0.596,84.76800495,20.52308375,1.323467217,0.130098236,15
1500000.1,400,0.5,0.5,104.3346154,16.95380855,1.365691943,0.179437919,15
1500000.1,400,0.596,0.404,124.3574918,13.69722867,0.558116283,0.287863442,15
1500000.1,400,0.692,0.308,143.5567617,10.22618463,1.378736453,0.232957787,15
1500000.1,400,0.788,0.212,161.4595196,6.970068886,1.230697883,0.071045209,15
1500000.1,400,0.884,0.116,180.1138708,3.796304203,3.858999291,0.065510074,15
1500000.1,400,0.98,0.02,198.5018092,0.649260514,1.856503051,0.011999959,15
3000000.1,200,0.02,0.98,423.0315119,151.4887825,19.71903136,7.174812527,30
3000000.1,200,0.116,0.884,804.0654563,36.67234501,11.981858,2.235769846,30
3000000.1,200,0.212,0.788,741.634573,52.6498095,13.75004046,3.983925927,30
3000000.1,200,0.308,0.692,768.2600314,44.59896586,25.21903297,4.532806651,30
3000000.1,200,0.404,0.596,734.838319,56.49832905,22.2090328,5.725032069,30
3000000.1,200,0.5,0.5,760.3102008,47.86114853,16.0674486,2.799783235,30
3000000.1,200,0.596,0.404,787.046316,40.93142635,30.75799524,7.557680927,30
3000000.1,200,0.692,0.308,795.2193695,36.60196204,25.37790229,4.835648398,30
3000000.1,200,0.788,0.212,825.0566933,27.0361772,9.365050363,4.071100738,30
3000000.1,200,0.884,0.116,847.5095635,18.03670507,10.7138091,2.681361616,30
3000000.1,200,0.98,0.02,892.9458565,4.298897616,11.58090461,0.808541356,30
3000000.1,220,0.02,0.98,302.7622291,171.8612208,13.14533621,4.290167579,30
3000000.1,220,0.116,0.884,678.4701907,61.05764033,13.95715783,3.107761535,30
3000000.1,220,0.212,0.788,771.6403824,34.09300644,16.02093093,3.815959986,30
3000000.1,220,0.308,0.692,816.9843856,22.13615665,15.09108277,1.453430862,30
3000000.1,220,0.404,0.596,770.9019734,32.06101729,8.96476274,1.594612913,30
3000000.1,220,0.5,0.5,798.4017749,24.97209634,6.175524723,2.916659997,30
3000000.1,220,0.596,0.404,804.7519467,21.28141632,8.204311613,1.6033072,30
3000000.1,220,0.692,0.308,768.2652142,36.37821515,13.99602931,3.925517995,30
3000000.1,220,0.788,0.212,797.3094825,27.54901477,21.98149936,4.083732185,30
3000000.1,220,0.884,0.116,821.0477717,17.47954248,1.862950508,0.755704099,30
3000000.1,220,0.98,0.02,867.6929241,3.831943247,15.11752354,0.566092539,30
3000000.1,240,0.02,0.98,195.0973628,181.0168085,3.075309504,2.080834502,30
3000000.1,240,0.116,0.884,544.9427342,84.16032787,5.809339834,1.690578388,30
3000000.1,240,0.212,0.788,675.6247566,48.44072228,11.24180865,2.204831523,30
3000000.1,240,0.308,0.692,738.2658605,31.92601991,11.48285074,3.142800949,30
3000000.1,240,0.404,0.596,778.9123606,21.77936837,11.18220119,1.891520605,30
3000000.1,240,0.5,0.5,806.7619539,15.62236699,1.283438446,0.738676718,30
3000000.1,240,0.596,0.404,789.1824374,17.31056368,6.771706872,1.322340882,30
3000000.1,240,0.692,0.308,804.0399971,12.56874733,9.742363244,1.130142642,30
3000000.1,240,0.788,0.212,816.5885853,8.64407626,7.542376821,0.581348034,30
3000000.1,240,0.884,0.116,836.1436481,4.378629618,5.460261751,0.315871179,30
3000000.1,240,0.98,0.02,837.0189005,3.206983589,14.61691174,0.383403669,30
3000000.1,260,0.02,0.98,117.3951162,174.2005677,3.306009942,1.591083222,30
3000000.1,260,0.116,0.884,426.1421768,99.22685838,6.751761436,2.577945021,30
3000000.1,260,0.212,0.788,565.2603923,62.77739829,4.743130009,1.603752311,30
3000000.1,260,0.308,0.692,645.3284391,42.44683169,3.96417569,1.000780789,30
