Pressure [Pa],Mole fraction CH4,Mole Fraction CO2,Uptake_CH4 [mg/gr],Uptake_CO2 [mg/gr],Error_CH4 [mg/gr],Error_CO2 [mg/gr]
80000.92,0.26,.74,1.4011856892,34.4729744896,0.0088802820,0.7228075870
80000.92,0.28,.72,1.5183620200,33.7006982782,0.0148654946,0.2517750321
80000.92,0.3,.70,1.6275266452,32.9831298950,0.0118272079,0.2907676538
80000.92,0.32,.68,1.7503317128,31.9099887993,0.0214377573,0.3623649220
80000.92,0.34,.66,1.8427539274,31.1031751021,0.0214974432,0.5891629571
80000.92,0.36,.64,1.9543631499,29.9735232426,0.0303900999,0.1238948091
80000.92,0.38,.62,2.0657464013,29.0820842540,0.0100181690,0.1474670005
80000.92,0.4,.60,2.1712133161,28.2587060856,0.0128953972,0.1024174133
80000.92,0.42,.58,2.2740507481,27.1352518174,0.0355554437,0.3411318440
80000.92,0.44,.56,2.3825785454,26.3169444055,0.0336726157,0.1995234106
80000.92,0.46,.54,2.4777124142,25.3387391394,0.0293131076,0.3250785113
80000.92,0.48,.52,2.5925263190,24.2776551758,0.0316213316,0.4425740814
80000.92,0.5,.50,2.6980959480,23.5547343274,0.0249426734,0.3599256248
80000.92,0.52,.48,2.8164432204,22.6170387714,0.0098387535,0.1814906500
80000.92,0.54,.46,2.9462328519,21.4651319251,0.0322338776,0.2382626820
80000.92,0.56,.44,3.0249324528,20.7473381749,0.0277506386,0.2664838340
80000.92,0.58,.42,3.1488879191,19.9717941427,0.0272615173,0.4202439715
80000.92,0.6,.40,3.2383725084,18.6368329876,0.0381296436,0.2534924259
80000.92,0.62,.38,3.3460375066,17.9381390868,0.0163196629,0.1597619120
80000.92,0.64,.36,3.4632549230,17.0141345733,0.0236172663,0.3420049560
80000.92,0.66,.34,3.5945647243,16.0402112793,0.0156339562,0.2348012520
80000.92,0.68,.32,3.6846245129,15.1542937811,0.0349641235,0.2534537982
80000.92,0.7,.30,3.7663849962,14.1489317970,0.0197920351,0.0790658463
80000.92,0.72,.28,3.8719546252,13.1490913033,0.0157381874,0.0795750146
80000.92,0.74,.26,3.9792293096,12.3183887089,0.0232022097,0.1826823242
80000.92,0.76,.24,4.1012332066,11.4687552904,0.0406867720,0.1949059768
80000.92,0.78,.22,4.1967368465,10.4209679770,0.0462174520,0.1287562885
80000.92,0.8,.20,4.3285602186,9.4691869864,0.0304074842,0.1080541762
80000.92,0.82,.18,4.4100125594,8.4772343360,0.0542164733,0.0916828226
80000.92,0.84,.16,4.5100150801,7.5343553401,0.0377489069,0.1078600986
80000.92,0.86,.14,4.6421465948,6.6004910223,0.0452229508,0.1021734957
80000.92,0.88,.12,4.7541666740,5.6523722446,0.0411838931,0.0832425543
80000.92,0.9,.10,4.8633518420,4.7023378478,0.0212723751,0.0646253218
80000.92,0.92,.08,4.9572531408,3.7843619003,0.0487213603,0.0967911766
80000.92,0.94,.06,5.0658220237,2.8196786515,0.0831784253,0.0270272513
80000.92,0.96,.04,5.1446037959,1.8579251731,0.0482232074,0.0076757891
80000.92,0.98,.02,5.2831446751,0.9333009004,0.0407275156,0.0305329791
80000.92,1,0,5.3646791872,0.0000000000,0.0439587784,0.0000000000
100000.9,0,1.00,0.0000000000,58.5360239829,0.0000000000,0.5321488292
100000.9,0.02,.98,0.1375959088,57.3241695267,0.0044086264,0.5244443793
100000.9,0.04,.96,0.2712681361,56.0489869563,0.0070894794,0.4168616725
100000.9,0.06,.94,0.4051457917,54.5899612927,0.0053697733,0.2408852241
100000.9,0.08,.92,0.5434401569,53.8002191424,0.0078209034,0.5287630043
100000.9,0.1,.90,0.6748321295,52.9135692015,0.0066778731,0.6424873255
100000.9,0.12,.88,0.8095314986,51.4068784271,0.0142947707,0.8368171694
100000.9,0.14,.86,0.9447855242,50.3439351861,0.0060185683,0.3410515198
100000.9,0.16,.84,1.0904136814,48.7563940167,0.0114597842,0.4551348516
100000.9,0.18,.82,1.2230587670,47.9096340268,0.0149100016,0.6203438222
100000.9,0.2,.80,1.3586825636,46.9015112975,0.0229621670,0.8598260511
100000.9,0.22,.78,1.4902388789,45.7919170969,0.0216090983,0.4979859615
100000.9,0.24,.76,1.6306902418,44.2160386675,0.0110678493,0.4222306557
100000.9,0.26,.74,1.7674233515,43.1078530103,0.0201219757,0.5624844582
100000.9,0.28,.72,1.8957544417,42.1373665624,0.0224854582,0.7046837544
100000.9,0.3,.70,2.0304127251,40.8633671685,0.0248474106,0.4659589149
100000.9,0.32,.68,2.1838471596,39.8040861405,0.0325514028,0.5094026633
100000.9,0.34,.66,2.3073917693,38.6489114734,0.0086176699,0.3523001311
100000.9,0.36,.64,2.4277727824,37.4186332687,0.0236043191,0.3979953765
100000.9,0.38,.62,2.5705249427,36.3743391432,0.0198296679,0.4506154295
100000.9,0.4,.60,2.7235485206,35.1743164521,0.0215768682,0.3257011798
100000.9,0.42,.58,2.8577754044,34.0001546190,0.0278037037,0.2644226156
100000.9,0.44,.56,3.0032392190,32.8946170236,0.0253428961,0.3490888913
100000.9,0.46,.54,3.1090142764,31.4964967795,0.0128764692,0.3522861394
100000.9,0.48,.52,3.2453570723,30.4129888039,0.0494174453,0.2657535750
100000.9,0.5,.50,3.3792347279,28.9866413487,0.0374341161,0.3140881034
100000.9,0.52,.48,3.5119003563,28.0964982201,0.0124949460,0.1856678866
100000.9,0.54,.46,3.6571176569,27.1145743993,0.0173469636,0.3280996202
100000.9,0.56,.44,3.8001779598,25.9738795590,0.0241427651,0.2088502205
100000.9,0.58,.42,3.9096918131,24.5909152426,0.0517442145,0.1798291517
100000.9,0.6,.40,4.0525466876,23.3247473503,0.0135664130,0.2647240349
100000.9,0.62,.38,4.2132532858,22.4608031302,0.0227410490,0.0552014312
100000.9,0.64,.36,4.3259101929,21.1090521369,0.0265205789,0.2058003126
100000.9,0.66,.34,4.4550013680,20.0035708833,0.0340942000,0.3095014800
100000.9,0.68,.32,4.6029303228,18.7454598597,0.0352668907,0.1332983946
100000.9,0.7,.30,4.7389649761,17.6004830472,0.0375413610,0.2263687537
100000.9,0.72,.28,4.8571479058,16.4809163589,0.0348169018,0.1547095556
100000.9,0.74,.26,5.0062272594,15.4329036786,0.0341508115,0.1811575912
100000.9,0.76,.24,5.1339420645,14.1280290120,0.0234810336,0.1763370538
